,,,,,,,,,,% of FGA by Distance,,,,,,FG% by Distance,,,,,,% of FG Ast'd,,Dunks,,Corner 3s,,Heaves,,
Rk,Player,Age,Team,Pos,G,GS,MP,FG%,Dist.,2P,0-3,10-Mar,16-Oct,16-3P,3P,2P,0-3,10-Mar,16-Oct,16-3P,3P,2P,3P,%FGA,#,%3PA,3P%,Att.,Md.,Awards
1,Bradley Beal,25,WAS,SG,82,82,3028,0.475,14.7,0.63,0.281,0.1,0.103,0.145,0.37,0.548,0.697,0.422,0.464,0.406,0.351,0.425,0.718,0.042,61,0.141,0.417,1,0,AS
2,James Harden,29,HOU,PG,78,78,2867,0.442,16.4,0.461,0.235,0.166,0.042,0.018,0.539,0.528,0.6,0.467,0.444,0.343,0.368,0.105,0.161,0.012,20,0.079,0.358,1,0,"MVP-2,AS,NBA1"
3,Kemba Walker,28,CHO,PG,82,82,2863,0.434,15.8,0.566,0.252,0.107,0.1,0.106,0.434,0.494,0.576,0.343,0.479,0.466,0.356,0.2,0.438,0,0,0.052,0.395,10,1,"AS,NBA3"
4,Tobias Harris,26,2TM,PF,82,82,2847,0.487,13.4,0.687,0.242,0.192,0.158,0.095,0.313,0.528,0.66,0.461,0.434,0.487,0.397,0.393,0.808,0.047,55,0.17,0.448,3,0,
4,Tobias Harris,26,LAC,PF,55,55,1903,0.496,13.4,0.698,0.235,0.198,0.163,0.103,0.302,0.523,0.657,0.456,0.439,0.477,0.434,0.34,0.813,0.036,30,0.159,0.488,2,0,
4,Tobias Harris,26,PHI,PF,27,27,944,0.469,13.4,0.662,0.256,0.18,0.148,0.078,0.338,0.542,0.667,0.472,0.424,0.516,0.326,0.51,0.795,0.07,25,0.193,0.385,1,0,
5,Paul George,28,OKC,SF,77,77,2841,0.438,16.6,0.531,0.211,0.097,0.108,0.115,0.469,0.484,0.629,0.363,0.391,0.409,0.386,0.311,0.671,0.035,52,0.132,0.42,8,2,"MVP-3,DPOY-3,AS,NBA1,DEF1"
6,Damian Lillard,28,POR,PG,80,80,2838,0.444,15.7,0.581,0.297,0.073,0.078,0.132,0.419,0.499,0.564,0.357,0.429,0.473,0.369,0.194,0.46,0.023,24,0.05,0.313,3,0,"MVP-6,AS,NBA2"
7,P.J. Tucker,33,HOU,PF,82,82,2802,0.396,18.9,0.26,0.141,0.096,0.015,0.008,0.74,0.449,0.527,0.34,0.5,0.25,0.377,0.705,1,0.006,3,0.703,0.393,1,0,
8,Kevin Durant,30,GSW,SF,78,78,2702,0.521,14.9,0.719,0.189,0.106,0.238,0.187,0.281,0.587,0.752,0.541,0.517,0.535,0.353,0.471,0.569,0.087,114,0.077,0.233,0,0,"MVP-8,AS,NBA2"
9,Ben Simmons,22,PHI,PG,79,79,2700,0.563,4.1,0.994,0.571,0.326,0.077,0.02,0.006,0.566,0.706,0.422,0.257,0.105,0,0.435,,0.155,133,0,,0,0,AS
10,DeMar DeRozan,29,SAS,SG,77,77,2688,0.481,10.8,0.966,0.216,0.236,0.272,0.241,0.034,0.492,0.715,0.474,0.412,0.401,0.156,0.276,1,0.015,20,0.489,0.273,1,0,
11,LaMarcus Aldridge,33,SAS,C,81,81,2687,0.519,9.7,0.968,0.27,0.246,0.252,0.201,0.032,0.528,0.716,0.485,0.437,0.442,0.238,0.588,0.9,0.042,51,0.095,0.25,0,0,AS
12,Steven Adams,25,OKC,C,80,80,2669,0.595,3.5,0.998,0.645,0.294,0.058,0,0.002,0.596,0.667,0.458,0.511,,0,0.642,,0.19,131,0,,2,0,
13,Klay Thompson,28,GSW,SG,78,78,2652,0.467,17.7,0.573,0.138,0.073,0.148,0.215,0.427,0.516,0.715,0.422,0.478,0.445,0.402,0.746,0.917,0.019,24,0.21,0.46,0,0,"AS,DEF2"
14,Andre Drummond,25,DET,C,79,79,2647,0.533,4.1,0.964,0.624,0.299,0.034,0.007,0.036,0.548,0.646,0.384,0.306,0,0.132,0.57,0.8,0.184,167,0.132,0,7,0,
15,Aaron Gordon,23,ORL,PF,78,78,2633,0.449,13,0.668,0.328,0.129,0.116,0.096,0.332,0.499,0.671,0.311,0.355,0.34,0.349,0.504,0.843,0.109,104,0.251,0.402,4,0,
16,Russell Westbrook,30,OKC,PG,73,73,2630,0.428,12.5,0.721,0.361,0.088,0.143,0.129,0.279,0.481,0.65,0.208,0.333,0.358,0.29,0.17,0.613,0.029,33,0.119,0.367,0,0,"MVP-10,AS,NBA3"
17,Blake Griffin,29,DET,PF,75,75,2622,0.462,13.1,0.611,0.283,0.241,0.054,0.034,0.389,0.525,0.686,0.433,0.208,0.333,0.362,0.34,0.561,0.031,37,0.178,0.398,3,0,"AS,NBA3"
18,Buddy Hield,26,SAC,SG,82,82,2615,0.458,17,0.521,0.19,0.089,0.094,0.149,0.479,0.487,0.671,0.24,0.414,0.446,0.427,0.504,0.842,0.026,34,0.194,0.516,2,0,
19,Jerami Grant,24,OKC,PF,80,77,2612,0.497,11.4,0.644,0.42,0.141,0.045,0.038,0.356,0.555,0.679,0.293,0.324,0.419,0.392,0.786,0.991,0.136,101,0.515,0.397,2,0,
20,Justin Holiday,29,2TM,SG,82,77,2607,0.386,18.6,0.402,0.152,0.068,0.075,0.107,0.598,0.442,0.669,0.132,0.379,0.361,0.348,0.761,0.932,0.041,30,0.335,0.41,2,0,
20,Justin Holiday,29,CHI,SG,38,38,1325,0.383,20.3,0.315,0.094,0.061,0.069,0.091,0.685,0.435,0.649,0.167,0.444,0.389,0.359,0.648,0.938,0.025,9,0.293,0.43,1,0,
20,Justin Holiday,29,MEM,SG,44,39,1282,0.389,16.8,0.491,0.211,0.076,0.081,0.123,0.509,0.447,0.679,0.103,0.323,0.34,0.333,0.833,0.923,0.057,21,0.395,0.39,1,0,
21,Collin Sexton,20,CLE,PG,82,72,2605,0.43,13.5,0.755,0.266,0.136,0.143,0.209,0.245,0.44,0.57,0.311,0.405,0.381,0.402,0.318,0.639,0.007,7,0.115,0.324,1,0,ROY-5
22,Donovan Mitchell,22,UTA,SG,77,77,2598,0.432,13.7,0.661,0.218,0.238,0.128,0.077,0.339,0.468,0.619,0.343,0.48,0.407,0.362,0.237,0.58,0.024,31,0.116,0.367,5,1,
23,Rudy Gobert,26,UTA,C,81,80,2577,0.669,2.2,1,0.815,0.167,0.011,0.007,0,0.669,0.743,0.361,0.125,0.2,,0.735,,0.479,306,,,0,0,"MVP-11,DPOY-1,NBA3,DEF1"
24,Bojan Bogdanović,29,IND,SF,81,81,2573,0.497,13.5,0.633,0.303,0.144,0.119,0.068,0.367,0.538,0.676,0.377,0.416,0.479,0.425,0.642,0.921,0.029,31,0.288,0.495,0,0,
25,Joe Ingles,31,UTA,PF,82,82,2568,0.448,17.3,0.398,0.191,0.133,0.042,0.031,0.602,0.533,0.667,0.439,0.382,0.32,0.391,0.388,0.825,0.004,3,0.261,0.444,2,0,
26,Evan Fournier,26,ORL,SG,81,81,2553,0.438,15.7,0.579,0.206,0.148,0.105,0.121,0.421,0.509,0.668,0.411,0.438,0.419,0.34,0.508,0.856,0.011,12,0.178,0.388,2,0,
27,Pascal Siakam,24,TOR,PF,80,79,2548,0.549,8.7,0.774,0.403,0.302,0.05,0.019,0.226,0.602,0.722,0.474,0.468,0.444,0.369,0.493,0.975,0.063,58,0.682,0.411,2,0,MIP-1
28,De'Aaron Fox,21,SAC,PG,81,81,2546,0.458,11.6,0.789,0.279,0.254,0.118,0.139,0.211,0.482,0.687,0.357,0.392,0.373,0.371,0.172,0.523,0.039,41,0.129,0.3,0,0,
29,Karl-Anthony Towns,23,MIN,C,77,77,2545,0.518,11.4,0.73,0.297,0.289,0.068,0.076,0.27,0.562,0.738,0.471,0.36,0.4,0.4,0.584,0.93,0.086,105,0.115,0.415,1,0,AS
30,Andrew Wiggins,23,MIN,SF,73,73,2543,0.412,13.7,0.712,0.264,0.146,0.122,0.181,0.288,0.441,0.621,0.341,0.34,0.329,0.339,0.45,0.814,0.037,39,0.164,0.474,2,0,
31,Josh Richardson,25,MIA,SG,73,73,2539,0.412,16.5,0.552,0.176,0.125,0.131,0.12,0.448,0.458,0.569,0.367,0.455,0.39,0.357,0.436,0.878,0.027,25,0.154,0.366,0,0,
32,Harrison Barnes,26,2TM,PF,77,77,2533,0.42,14.9,0.571,0.195,0.212,0.096,0.067,0.429,0.439,0.65,0.358,0.313,0.261,0.395,0.506,0.868,0.031,28,0.297,0.45,2,0,
